,link,name,rating,is_advance,load_date
0,"https://21cineplex.com/sebelum-iblis-menjemput-ayat-2,5978,10SIM2.htm",Sebelum Iblis Menjemput Ayat 2,R17+,,2020-02-28 09:23:31
1,"https://21cineplex.com/imax/the-invisible-man-(imax-2d),6055,20IMX2.htm",The Invisible Man (IMAX 2D),R17+,,2020-02-28 09:23:31
2,"https://21cineplex.com/the-invisible-man,5931,20IMAN.htm",The Invisible Man,R17+,,2020-02-28 09:23:31
3,"https://21cineplex.com/riki-rhino,5921,10RRHO.htm",Riki Rhino,SEMUA UMUR,,2020-02-28 09:23:31
4,"https://21cineplex.com/teman-tapi-menikah-2,5916,10TTM2.htm",Teman Tapi Menikah 2,R13+,,2020-02-28 09:23:31
5,"https://21cineplex.com/sonic-the-hedgehog,5928,20STHG.htm",Sonic the Hedgehog,SEMUA UMUR,,2020-02-28 09:23:31
6,"https://21cineplex.com/the-call-of-the-wild,5913,20COTW.htm",The Call of the Wild,SEMUA UMUR,,2020-02-28 09:23:31
7,"https://21cineplex.com/bhoot-the-haunted-ship,6053,20BTHS.htm",Bhoot: The Haunted Ship,R17+,,2020-02-28 09:23:31
8,"https://21cineplex.com/milea-suara-dari-dilan,5872,10MSDD.htm",Milea Suara dari Dilan,R13+,,2020-02-28 09:23:31
9,"https://21cineplex.com/brahms-the-boy-ii,5870,19BII..htm",Brahms: The Boy II,R17+,,2020-02-28 09:23:31
10,"https://21cineplex.com/toko-barang-mantan,5915,10TBMN.htm",Toko Barang Mantan,R13+,,2020-02-28 09:23:31
11,"https://21cineplex.com/harley-quinn-birds-of-prey,5832,20BOPY.htm",Harley Quinn: Birds of Prey,R17+,,2020-02-28 09:23:31
12,"https://21cineplex.com/fantasy-island,5871,20FISD.htm",Fantasy Island,R17+,,2020-02-28 09:23:31
13,"https://21cineplex.com/judy,5920,20JUDY.htm",Judy,R13+,,2020-02-28 09:23:31
14,"https://21cineplex.com/little-women,5833,19LWON.htm",Little Women,R13+,,2020-02-28 09:23:31
