,category_id,category_name,count_review,id,name,original_price,price,price_int,rating,shop.city,shop.id,shop.is_gold,shop.is_official,shop.is_power_badge,shop.location,shop.name,shop.reputation,get_date,keyword
39,65,Handphone & Tablet,39,676737678,SAMSUNG GALAXY A51 A515 TEMPERED GLASS CAMERA BACK SCREEN GUARD KAMERA,,Rp28.999,28999,5,Jakarta Pusat,6104622,True,False,True,Jakarta Pusat,Alibaba Official Acc,https://inbox.tokopedia.com/reputation/v1/badge/shop/6104622,2020-07-02,Samsung A51
40,65,Handphone & Tablet,56,765716286,Samsung Galaxy A51 8/128 Resmi SEIN 1 Tahun,,Rp4.625.000,4625000,5,Bekasi,1375058,True,False,True,Bekasi,TriStar 68 Cell,https://inbox.tokopedia.com/reputation/v1/badge/shop/1375058,2020-07-02,Samsung A51
41,65,Handphone & Tablet,174,680573282,Original RINGKE Fusion X Case Samsung Galaxy A51 / A71 2020 - Casing,,Rp215.000,215000,5,Jakarta Utara,1069973,True,False,True,Jakarta Utara,GadgetLifestyleShop,https://inbox.tokopedia.com/reputation/v1/badge/shop/1069973,2020-07-02,Samsung A51
42,65,Handphone & Tablet,35,678785358,SAMSUNG A51 / A71 TEMPERED GLASS PRIVACY ANTI SPY FULL COVER,,Rp39.000,39000,5,Jakarta Pusat,6595375,True,False,True,Jakarta Pusat,Urban Story,https://inbox.tokopedia.com/reputation/v1/badge/shop/6595375,2020-07-02,Samsung A51
43,65,Handphone & Tablet,21,792161968,Samsung Galaxy A51 8GB/128GB A 51 8/128GB 8/128 Resmi-SEIN-Black-Hitam,,Rp4.650.000,4650000,5,Jakarta Selatan,3252295,True,False,True,Jakarta Selatan,MI WORLD,https://inbox.tokopedia.com/reputation/v1/badge/shop/3252295,2020-07-02,Samsung A51
44,65,Handphone & Tablet,12,692664426,"Nillkin Samsung Galaxy A51 Camshield Case , Casing Pelindung Camera",,Rp120.000,120000,5,Bekasi,2929555,True,False,True,Bekasi,Bobby TM,https://inbox.tokopedia.com/reputation/v1/badge/shop/2929555,2020-07-02,Samsung A51
45,65,Handphone & Tablet,67,682310732,SAMSUNG GALAXY A51 A515 UME HYBRID ORIGINAL CASE SOFT ANTI CRACK TPU,,Rp55.003,55003,5,Jakarta Pusat,4471375,True,False,True,Jakarta Pusat,Nillkin Store 888,https://inbox.tokopedia.com/reputation/v1/badge/shop/4471375,2020-07-02,Samsung A51
46,65,Handphone & Tablet,13,670883244,GARSKIN SKIN AURORA SAMSUNG A51 - ANTI GORES BELAKANG SAMSUNG A51,,Rp15.000,15000,5,Jakarta Utara,2488772,True,False,True,Jakarta Utara,BenuaCell,https://inbox.tokopedia.com/reputation/v1/badge/shop/2488772,2020-07-02,Samsung A51
47,65,Handphone & Tablet,25,652855470,SAMSUNG A51 BACK SKIN CARBON GARSKIN ANTI GORES BELAKANG,,Rp9.500,9500,5,Jakarta Pusat,6595375,True,False,True,Jakarta Pusat,Urban Story,https://inbox.tokopedia.com/reputation/v1/badge/shop/6595375,2020-07-02,Samsung A51
48,65,Handphone & Tablet,14,663810036,Case Samsung Galaxy A51 Nillkin Qin Leather Flip,,Rp149.000,149000,5,Bekasi,5283616,True,True,True,Bekasi,Nillkin Official,https://inbox.tokopedia.com/reputation/v1/badge/shop/5283616,2020-07-02,Samsung A51
49,65,Handphone & Tablet,7,679198105,Samsung Galaxy A51 Flip Clear View Standing Cover Mirror Case Casing,,Rp65.000,65000,5,Jakarta Utara,2952581,True,False,True,Jakarta Utara,17 Agustus,https://inbox.tokopedia.com/reputation/v1/badge/shop/2952581,2020-07-02,Samsung A51
50,65,Handphone & Tablet,18,672848132,Samsung Galaxy A51 Premium 2in1 Magnetic Glass Transparant Case A51,,Rp65.000,65000,5,Jakarta Timur,2643002,True,False,True,Jakarta Timur,Aurora Phone,https://inbox.tokopedia.com/reputation/v1/badge/shop/2643002,2020-07-02,Samsung A51
51,65,Handphone & Tablet,14,670160955,Nillkin H-Plus Pro Glass Samsung Galaxy A51 - Tempered Original Kaca,Rp140.000,Rp138.600,138600,5,Bandung,92398,True,True,True,Bandung,Logay Accessories,https://inbox.tokopedia.com/reputation/v1/badge/shop/92398,2020-07-02,Samsung A51
52,65,Handphone & Tablet,38,676414202,SAMSUNG GALAXY A51 A515 LUXURY LEATHER RING HARD SOFT CASE STAND COVER,,Rp69.000,69000,5,Jakarta Pusat,370843,True,False,True,Jakarta Pusat,MrThebest,https://inbox.tokopedia.com/reputation/v1/badge/shop/370843,2020-07-02,Samsung A51
