,id_iklan,status_iklan,created_at,user_id,title,description,tahun,price,prov,kota,lat,lon
17,771713276,active,2020-02-11T18:58:22+07:00,69372618,Yamaha Vixion R 2018 155 Vva Born From All New R15 Vva,"DIJUAL YAMAHA VIXION R 155 VVA 2018 ;

( Type Tertinggi Vixion R 6 Speed )

- Mesin Sehat Setara New R15 Vva
- Baru Service & Ganti Oli Baru
- Body Mulus Warna Biru Metalik
- Tidak Bekas Jatuh / Nabrak ( Dijamin )
- Stater , Lampu Led , Hazard Dll Hidup
- Transmisi 6 Speed / Kecepatan Kopling
- Rem Double Cakram Depan Belakang
- ASC ( Assists & Slipper Clutch )
- ( KM ) Jarak Tempuh 5 Rb an Jarang Pakai
- Velg , Ban , Shock Dll Asli Bawaan

- Surat Lengkap ; ( Stnk,Bpkb,Faktur )
- Pajak Bulan Depan Sudah Dibayar
- Pajak Sampai 03 - 2021 Plat B Dki Barat
- Plat Nomer & Stnk Sampai 03 - 2023

- Alamat ; Komplek Purikartika Baru
Blok i 3 No 16 Jalan Duren
- Deket Samsat Ciledug
- Deket Pasar Lembang
- Ciledug , Tanggerang Kota

- THANKS OLX",2018,18850000.0,Banten,Tangerang Kota,-6.236,106.705
18,771845927,active,2020-02-11T18:58:05+07:00,105588769,Yamaha vixion tahun 2015,"Kondisi motor dijamin 
Mesin mulus 
Ban tebal 
Bodi mulus no lecet 
Yg serius silahkan chat",2015,8700000.0,Jawa Timur,Kediri Kota,-7.848,112.017
19,768869545,active,2020-02-11T18:56:37+07:00,100911036,Jual cepat yamaha vixion,"Kondisi mulus.
Minus lecet.
Service teratur.
Tangan pertama.
BBM pakai pertamax.
Harga nego.",2014,16000000.0,Jawa Tengah,Magelang Kota,-7.479,110.217
20,771839327,active,2020-02-11T17:53:33+07:00,64603852,MOTOR SPORT VIXION 2018 DP MURAH ANGSURAN TERMURAH BODY RAMPING,"Motor Bekas Bergaransi&Berkualitas
Hanya di Setia Kawan Motor 
Proses 1 Hari  & KTP Daerah Bisa Dibantu

Syarat Kredit :  KTP + KK + Rek Listrik + Slip Gaji / FC Rek Buku Tabungan( Surat Domisili jika rumah kontrak)
(Mengcover daerah JaBoDeBek)

VIXION  TAHUN  2018
Uang Muka (DP) : 800.000-
Angsuran :
11x 2.054Rbu / Bulan
17x 1.498Rbu / Bulan
23x 1.211Rbu / Bulan
29x 981Rbu / Bulan
35x 874Rbu / Bulan

Dapatkan Bonus Langsung dari Kami, berupa :
1. Proses Cepat 1 Hari Setelah Survey
2. DP Terjangkau!
3. Pajak Panjang
5. Garansi Mesin 3 Bulan
6. Garansi Service 1 Tahun
7. Gratis Ganti Oli Mesin & Gardan
8. Gratis Aki Baru 
9. Motor Diasuransikan untuk kredit
10. Asuransi Jiwa untuk kredit
11. Gratis Ban Tubless
12. Promo Cicilan 0% Via Kartu Kredit

Keadaan Unit :
- Surat yang Lengkap BPKB + Faktur + STNK
- Gratis Ban Tubles
- Kondisi Unit yang Mulus dan juga BERGARANSI
- Mesin Standar Pabrikan 

DATANG LANGSUNG & BUKTIKAN KUALITAS KAMI !!!



Lokasi Unit :

SETIA KAWAN MOTOR
Jl. Raya Bogor KM 31,2 Cisalak Depok",2018,19400000.0,Jawa Barat,Bogor Kota,-6.642,106.823
21,765271402,active,2020-02-11T17:52:41+07:00,12147275,Jual new vixion lightning,Jual new vixion lightning 2015 bulan 6 alat2 standar lengkap..paper lengkap.pajak aktif.nego,2015,15000000.0,Sulawesi Selatan,Makassar Kota,-5.091,119.522
22,771051763,active,2020-02-11T17:42:51+07:00,80624715,jual vixion 2018.pajak panjang.surat lengkap.mantab,"jual vixion 2018.
KM 10 rb an
motor masih full ori.standar.no modif.
mesin gk ngebul..suara halus.tarikan enteng.joss.
surat lengkap
pajak idup bln 7
plat f bogor(kabupaten).samsat cibinong


harga nego di tempat

bisa tuker tambah motor lain.ajuin aja

lokasi di depok 2 tengah",2018,17100000.0,Jawa Barat,Depok Kota,-6.375,106.823
23,771837067,active,2020-02-11T17:39:33+07:00,89314467,Vixion tahun 2009 plat BG tt motor oppo Samsung,"Vixion tahun 2009
Surt2 bpkb paktur aja aja plat BG
Harga : net, passsssssssss 
Mesin halus adem, setater jalan, amper besin jalan, sepido jln cat polet masih ory bawaan pabrik motor
Lokasi ujung berung
Wa/sms",2019,4700000.0,Jawa Barat,Bandung Kota,-6.906,107.707
24,771837564,active,2020-02-11T17:38:39+07:00,104665888,Vixion siap pake touring akhir pekan anda,"Harga OTR : 16.5jt

35x746
29x865
23x1009
17x1288
11x1760


√ Jual Beli Motor Bekas Rasa Baru Bergaransi
√ Ready Motor Sport, Bebek dan Matic Terbaik Di Kelasnya
√ Bergaransi Mesin 3 bulan
√ Service 6 x di Bengkel Kami
√ Bisa Tukar Tambah
√ Bonus Helm SNI 
√ Free Ongkir (S&K Berlaku)
√ Promo Khusus Kredit (S&K Berlaku)
√ Pengajuan Kredit Cukup Via WA / SMS Ke Nomor Marketing Kami

ALAMAT
Perum Ciluar permai blok f4 no 1 Cijujung Sukaraja

Terimakasih atas kunjungan Anda
BIMA MOTOR PUSATNYA NGEDEAL TERBAIKMU",2017,16500000.0,Jawa Barat,Bogor Kab.,-6.532,106.9
25,771746772,active,2020-02-11T17:34:45+07:00,68026182,Rawatan! Yamaha New VIXION KS 150 FI 2013 Pajak hidup siap pakai,"Dijual motor Sport Rawatan Yamaha VIXION KS 150FI Th 2013 Bulan 4 ( Pajak hidup ) Warna merah putih dengan keterangan sbb

Plat A Tangerang ( bukan serang )
Pajak bulan 4 th 2020 ( Hidup )
Surat Lengkap Bpkb stnk faktur nik
Surat masih tangan pertama 
Mesin super rawatan & Full standart
Body mulus & terawat
Kelistrikan normal semua ( stater hidup )
Ban baru depan belakang
Full standart pabrik
Harga 9.5jt nego tipis ditempat ( no tawar sadis )
Berminat? Lgsg telp & Wa

Lokasi Jalan joglo baru dekat sekolah sma 101 jakarta barat
Jangan lupa disebutkan dgn jelas apa yg mau ditanyakan",2013,9500000.0,Banten,Tangerang Kota,-6.205,106.705
26,771836913,active,2020-02-11T17:32:59+07:00,64962356,Jual vixion 2013,"Jual vixion 2013 barang full modif hedon..

Banyak fariasi

Monggo di pantau langsung biar jelas..",2013,13000000.0,Jawa Timur,Surabaya Kota,-7.279,112.736
