,id_iklan,status_iklan,created_at,user_id,title,description,price,prov,kota,lat,lon
14,771713276,active,2020-02-11T18:58:22+07:00,69372618,Yamaha Vixion R 2018 155 Vva Born From All New R15 Vva,"DIJUAL YAMAHA VIXION R 155 VVA 2018 ;

( Type Tertinggi Vixion R 6 Speed )

- Mesin Sehat Setara New R15 Vva
- Baru Service & Ganti Oli Baru
- Body Mulus Warna Biru Metalik
- Tidak Bekas Jatuh / Nabrak ( Dijamin )
- Stater , Lampu Led , Hazard Dll Hidup
- Transmisi 6 Speed / Kecepatan Kopling
- Rem Double Cakram Depan Belakang
- ASC ( Assists & Slipper Clutch )
- ( KM ) Jarak Tempuh 5 Rb an Jarang Pakai
- Velg , Ban , Shock Dll Asli Bawaan

- Surat Lengkap ; ( Stnk,Bpkb,Faktur )
- Pajak Bulan Depan Sudah Dibayar
- Pajak Sampai 03 - 2021 Plat B Dki Barat
- Plat Nomer & Stnk Sampai 03 - 2023

- Alamat ; Komplek Purikartika Baru
Blok i 3 No 16 Jalan Duren
- Deket Samsat Ciledug
- Deket Pasar Lembang
- Ciledug , Tanggerang Kota

- THANKS OLX",18850000.0,Banten,Tangerang Kota,-6.236,106.705
15,771845927,active,2020-02-11T18:58:05+07:00,105588769,Yamaha vixion tahun 2015,"Kondisi motor dijamin 
Mesin mulus 
Ban tebal 
Bodi mulus no lecet 
Yg serius silahkan chat",8700000.0,Jawa Timur,Kediri Kota,-7.848,112.017
16,768869545,active,2020-02-11T18:56:37+07:00,100911036,Jual cepat yamaha vixion,"Kondisi mulus.
Minus lecet.
Service teratur.
Tangan pertama.
BBM pakai pertamax.
Harga nego.",16000000.0,Jawa Tengah,Magelang Kota,-7.479,110.217
17,771845743,active,2020-02-11T18:56:19+07:00,105477593,Jual santai motor kesayangan,Super irit. Surat menyurat lengkap. Pajak lancar jaya,13500000.0,Yogyakarta D.I.,Kulon Progo Kab.,-7.832,110.158
18,767309817,active,2020-02-11T18:53:23+07:00,69980419,"Vixion old tahun 2012, pajak idup tgl 25/04, lecet pemakaian,","Motor vixion old 2012, jual butuh, nego aja",8000000.0,Banten,Tangerang Kab.,-6.235,106.57
19,768827822,active,2020-02-11T18:51:36+07:00,77452588,Yamah vixion Advance.2015.buln 11.pajak plat hidup.bpkb ada.lankap,tukar tamba vario bisa.harga nego.minat lagsung caht.,14850000.0,Sumatra Utara,Medan Kota,3.525,98.621
20,771836433,active,2020-02-11T17:29:53+07:00,67172597,NEW VIXION ADVANCE 155 TH 2017 / KOTAMADYA,"Dijual / Tuker tambah juga boleh..
Yamaha Vixion advance 155 th 2017
Plat Kota Bandar Lampung
Surat2 lengkap ( bpkb,stnk dan faktur )
Pajak baru, hidup sampe januari 2021
Plat dan stnk sampe th 2022
~Kondisi mesin masih standar,belum diutak atik, suara alus, tarikan enteng.
~Body lengkap dan ori, belum pernah jatuh masih lumayan mulus.
~Jarak tempuh baru 26ribuan KM.
~Kelistrikan,stater,spedo dan amper minyak hidup normal
~Ban depan Belakang masih tebel semua.
Silahkan cek sepuasnya dirumah.
~Buku service dan buku panduan masih ada.

Harga..nego aluss.
Silahkan tlp/wa kenomor user.
Alamat rumah digedong air,Tkb.",18350000.0,Lampung,Bandar Lampung Kota,-5.423,105.225
21,771836532,active,2020-02-11T17:29:41+07:00,105586418,Yamaha Vixion 2008 Merah cakep,"Dijual cepat motor Yamaha Vixion 2008
Ss lengkap
Aki baru
Pemakaian sendiri
Minat bisa cek langsung
8jt nett",8500000.0,Banten,Tangerang Selatan Kota,-6.308,106.756
22,771836292,active,2020-02-11T17:27:57+07:00,47335443,Vixion thn.2010 pajak hidup bln 3 original no minus kecuali pemakaian,"Vixion 2010 istimewa tinggal pake aja 
Minusnya pajak mepet aja bln 3
Mesin jos kering
Ban tebal depan belakang
Insallah ga ada PR tinggal pake aja
Mesin enak koling jos 
Shok dpan blakang aman

Kelengkapan 
Stnk+bpkb komplit
Minat Serius langsung wa aja 
Almat rumah
Cipayung jl.rawasari cipayung depok",7800000.0,Jawa Barat,Depok Kota,-6.427,106.8
23,771836239,active,2020-02-11T17:27:19+07:00,64603852,Vixion moviestar edisi 2018 dp hanya 800,"Motor Bekas Bergaransi&Berkualitas
Hanya di Setia Kawan Motor 
Proses 1 Hari  & KTP Daerah Bisa Dibantu

Syarat Kredit :  KTP + KK + Rek Listrik + Slip Gaji / FC Rek Buku Tabungan( Surat Domisili jika rumah kontrak)
(Mengcover daerah JaBoDeBek)

YAMAHA VIXION TAHUN 2018
Uang Muka (DP) : 800.000-
Angsuran :
11x 2054Rbu / Bulan
17x 1498Rbu / Bulan
23x 1211Rbu / Bulan
29x 981Rbu / Bulan
35x 874Rbu / Bulan

Dapatkan Bonus Langsung dari Kami, berupa :
1. Proses Cepat 1 Hari Setelah Survey
2. DP Terjangkau!
3. Pajak Panjang
5. Garansi Mesin 3 Bulan
6. Garansi Service 1 Tahun
7. Gratis Ganti Oli Mesin & Gardan
8. Gratis Aki Baru 
9. Motor Diasuransikan untuk kredit
10. Asuransi Jiwa untuk kredit
11. Gratis Ban Tubless
12. Promo Cicilan 0% Via Kartu Kredit

Keadaan Unit :
- Surat yang Lengkap BPKB + Faktur + STNK
- Gratis Ban Tubles
- Kondisi Unit yang Mulus dan juga BERGARANSI
- Mesin Standar Pabrikan 

DATANG LANGSUNG & BUKTIKAN KUALITAS KAMI !!!

HUBUNGI :   WHATSAPP / TELEPON

Lokasi Unit :

SETIA KAWAN MOTOR
Jl. Raya Bogor KM 31,2 Cisalak Depok",19000000.0,Jawa Barat,Depok Kota,-6.409,106.876
