title,user_name,rating,review_date,review_text,reply_text
Bukalapak-JualBeliOnline,Setyo Adi Nugroho,Rated 1 stars out of five stars,"March 6, 2019",Bagus. Promonya banyak. edit: saldo saya masih banyak. saya tidak mau ikit dana. saya mau akses uang saya dibuka.,
Bukalapak-JualBeliOnline,malik karim,Rated 5 stars out of five stars,"March 6, 2019",great. but sometime bad,
Bukalapak-JualBeliOnline,Gerry Romanisti,Rated 1 stars out of five stars,"March 6, 2019","Transaksi bayar tagihan kartu kredit ga real time, udah 2x24 jam status masih d proses. sy jadi terancam kena denda karena sudah dekat jatuh tempo...",
Bukalapak-JualBeliOnline,A Google user,Rated 5 stars out of five stars,"March 6, 2019",Fast Local online shop application,
Bukalapak-JualBeliOnline,Fathariza Maruf,Rated 5 stars out of five stars,"March 6, 2019",Tempat mengais rejeki. Terimakasih,
Bukalapak-JualBeliOnline,Hadi Smt,Rated 4 stars out of five stars,"March 6, 2019",easy to use and fast,
Bukalapak-JualBeliOnline,A Google user,Rated 1 stars out of five stars,"March 6, 2019",state transisi tidak valid pada saat mau bayar serbu,
Bukalapak-JualBeliOnline,A Google user,Rated 5 stars out of five stars,"March 6, 2019",sangat baik,
Bukalapak-JualBeliOnline,Yudi Blackid,Rated 5 stars out of five stars,"March 6, 2019",gooood,
Bukalapak-JualBeliOnline,Dodi hidayat,Rated 5 stars out of five stars,"March 6, 2019",cakep,
Bukalapak-JualBeliOnline,ahmet maulana muhamad,Rated 5 stars out of five stars,"March 6, 2019",Asli dalam negeri,
Bukalapak-JualBeliOnline,Fajar Wibowo,Rated 1 stars out of five stars,"March 6, 2019","Kacau nih setelah di update malah jadi error. Serbu seru saldo sudah terpotong, tapi status masih menunggu pembayaran. Gimana mau dapat kalau caranya seperti itu. Benerin dong",
Bukalapak-JualBeliOnline,Rizka Tamira,Rated 5 stars out of five stars,"March 6, 2019",easy to use,
Bukalapak-JualBeliOnline,Dian nova,Rated 5 stars out of five stars,"March 6, 2019","aplikasinya sangat mudah, tersedia bank syariah juga",
Bukalapak-JualBeliOnline,Immanuel Brian,Rated 5 stars out of five stars,"March 6, 2019",good,
Bukalapak-JualBeliOnline,Baby,Rated 1 stars out of five stars,"March 6, 2019",fitur untuk ganti nomer sangat merepotkan dan tidak praktiks dan vervifkasi nomer sangat lama berkali kali tidak muncul,
Bukalapak-JualBeliOnline,A Google user,Rated 5 stars out of five stars,"March 6, 2019","Speechless deh ama fitur² disini, cuman mau nambahin dikit untuk fitur Pembayaran PDAM nya supaya di Update untuk seluruh Kecamatan/Kabupaten/Kota nya.",
Bukalapak-JualBeliOnline,Hend M,Rated 1 stars out of five stars,"March 6, 2019","tidak bisa lihat ulasan barang . tertulis ulasan misal ada 6, tapi kosong tidak ditampilkan ulasan nya.",
Bukalapak-JualBeliOnline,anna Veronika,Rated 5 stars out of five stars,"March 6, 2019",awesome,
Bukalapak-JualBeliOnline,vincent tius,Rated 1 stars out of five stars,"March 6, 2019","pembayaran tidak d konfirmasi bukalapak, uang saya tidak dikembalikan 352.973. saldo bukadompet juga 0 rupiah. saya telah mengajukan komplain beberapa kali namun tidak ada respon.",
Bukalapak-JualBeliOnline,Much Solichuddin,Rated 5 stars out of five stars,"March 6, 2019",Aplikasi luar biasa. Semoga semakin berkembang,
Bukalapak-JualBeliOnline,A Google user,Rated 4 stars out of five stars,"March 6, 2019",lumayan,
Bukalapak-JualBeliOnline,priyatno padamara,Rated 5 stars out of five stars,"March 6, 2019",good aps,
Bukalapak-JualBeliOnline,A Google user,Rated 5 stars out of five stars,"March 6, 2019",Mantebbb..,
